dimension_id,dimension_name,element_key,element_name
OBJ10027499,Statut dans l'emploi,28528819,Total
OBJ10027499,Statut dans l'emploi,28528829,Indépendants
OBJ10027499,Statut dans l'emploi,28528839,Patrons
OBJ10027499,Statut dans l'emploi,28629579,Entrepreneurs
OBJ10027499,Statut dans l'emploi,28528849,Associés
OBJ10027499,Statut dans l'emploi,28528859,Salariés
OBJ10027499,Statut dans l'emploi,28528869,Aide familial
OBJ10027499,Statut dans l'emploi,28528879,Apprentis
OBJ10027499,Statut dans l'emploi,28528889,Autres
OBJ10027499,Statut dans l'emploi,28528899,Non déclarés
OBJ10027499,Statut dans l'emploi,28629559,Non applicable
