dimension_id,dimension_name,element_key,element_name
OBJ10330179,Niveau d'éducation,28737069,Aucune éducation
OBJ10330179,Niveau d'éducation,28737059,Année préparatoire
OBJ10330179,Niveau d'éducation,28736449,Enseignement de base et enseignement secondaire
OBJ10330179,Niveau d'éducation,28736459,Enseignement de base
OBJ10330179,Niveau d'éducation,28736469,1er cycle de l'enseignement de base
OBJ10330179,Niveau d'éducation,28736479,1ère année
OBJ10330179,Niveau d'éducation,28736489,2ème année
OBJ10330179,Niveau d'éducation,28736499,3ème année
OBJ10330179,Niveau d'éducation,28736509,4ème année
OBJ10330179,Niveau d'éducation,28736519,5ème année
OBJ10330179,Niveau d'éducation,28736529,6ème année
OBJ10330179,Niveau d'éducation,28736539,2ème cycle de l'enseignement de base
OBJ10330179,Niveau d'éducation,28736549,7ème année
OBJ10330179,Niveau d'éducation,28736559,8ème année
OBJ10330179,Niveau d'éducation,28736569,9ème année
OBJ10330179,Niveau d'éducation,28736579,Enseignement secondaire
OBJ10330179,Niveau d'éducation,28736589,1ère année
OBJ10330179,Niveau d'éducation,28736599,2ème année
OBJ10330179,Niveau d'éducation,28736609,3ème année
OBJ10330179,Niveau d'éducation,28736619,4ème année (Baccalauréat)
OBJ10330179,Niveau d'éducation,28736629,Enseignement supérieur
OBJ10330179,Niveau d'éducation,28736639,Total
