dimension_id,dimension_name,element_key,element_name
OBJ11279089,Secteur d'activité,28751769,"Agriculture, sylviculture et pêche"
OBJ11279089,Secteur d'activité,28751779,Extraction du pétrole et du gaz naturel
OBJ11279089,Secteur d'activité,28751789,Extraction des produits miniers
OBJ11279089,Secteur d'activité,28751799,Industries agro-alimentaires
OBJ11279089,Secteur d'activité,28751809,"Industrie du textile, de l’habillement et du cuir"
OBJ11279089,Secteur d'activité,28751819,Raffinage du pétrole
OBJ11279089,Secteur d'activité,28751829,Industries chimiques
OBJ11279089,Secteur d'activité,28751839,Industrie d'autres produits minéraux non métalliques
OBJ11279089,Secteur d'activité,28751849,Industries mécaniques et électriques
OBJ11279089,Secteur d'activité,28751859,Industries diverses
OBJ11279089,Secteur d'activité,28751869,Production et distribution de l'électricité et du gaz
OBJ11279089,Secteur d'activité,28751879,"Production et distribution d'eau, assainissement et gestion des déchets"
OBJ11279089,Secteur d'activité,28751889,Construction
OBJ11279089,Secteur d'activité,28751899,Commerce et réparation
OBJ11279089,Secteur d'activité,28751909,Transport et entreposage
OBJ11279089,Secteur d'activité,28751919,Hébergement et restauration
OBJ11279089,Secteur d'activité,28751929,Information et communication
OBJ11279089,Secteur d'activité,28751939,Activités financières et d'assurance
OBJ11279089,Secteur d'activité,28751949,Administration publique et défense
OBJ11279089,Secteur d'activité,28751959,Enseignement
OBJ11279089,Secteur d'activité,28751969,Santé humaine et action sociale
OBJ11279089,Secteur d'activité,28751979,Autres services marchands
OBJ11279089,Secteur d'activité,28751989,Autres activités des ménages
OBJ11279089,Secteur d'activité,28751999,Activités des organisations associatives
OBJ11279089,Secteur d'activité,28752009,Sous total. Activités marchandes
OBJ11279089,Secteur d'activité,28752019,Sous total. Activités non marchandes
OBJ11279089,Secteur d'activité,28752029,Total des valeurs ajoutées
OBJ11279089,Secteur d'activité,28752039,Impôts nets de subventions sur les produits
OBJ11279089,Secteur d'activité,28752049,Produit Intérieur Brut (PIB)
