dimension_id,dimension_name,element_key,element_name
OBJ11288649,Domaine,28758739,"Agriculture, sylviculture et pêche"
OBJ11288649,Domaine,28758749,Extraction du pétrole et du gaz naturel
OBJ11288649,Domaine,28758759,Extraction des produits miniers
OBJ11288649,Domaine,28758769,Industries agro-alimentaires
OBJ11288649,Domaine,28758779,"Industrie du textile, de l’habillement et du cuir"
OBJ11288649,Domaine,28758789,Raffinage du pétrole
OBJ11288649,Domaine,28758799,Industries chimiques
OBJ11288649,Domaine,28758809,Industrie d'autres produits minéraux non métalliques
OBJ11288649,Domaine,28758819,Industries mécaniques et électriques
OBJ11288649,Domaine,28758829,Industries diverses
OBJ11288649,Domaine,28758839,Production et distribution de l'électricité et du gaz
OBJ11288649,Domaine,28758849,"Production et distribution d'eau, assainissement et gestion des déchets"
OBJ11288649,Domaine,28758859,Construction
OBJ11288649,Domaine,28758869,Commerce et réparation
OBJ11288649,Domaine,28758879,Transport et entreposage
OBJ11288649,Domaine,28758889,Hébergement et restauration
OBJ11288649,Domaine,28758899,Information et communication
OBJ11288649,Domaine,28758909,Activités financières et d'assurance
OBJ11288649,Domaine,28758919,Autres Services marchands
OBJ11288649,Domaine,28758929,dont logement
OBJ11288649,Domaine,28758939,Equipements collectifs des administrations publiques
OBJ11288649,Domaine,28758949,Education et formation
OBJ11288649,Domaine,28758959,Santé
OBJ11288649,Domaine,28758969,Assainissement
OBJ11288649,Domaine,28758979,Urbanisme
OBJ11288649,Domaine,28758989,Social et culturel
OBJ11288649,Domaine,28758999,Services administratifs divers
OBJ11288649,Domaine,28759009,Total
