dimension_id,dimension_name,element_key,element_name
OBJ5156289,Tranche d'âge,27862169,Total
OBJ5156289,Tranche d'âge,27862179,0-4
OBJ5156289,Tranche d'âge,27862189,5-9
OBJ5156289,Tranche d'âge,27862199,10-14
OBJ5156289,Tranche d'âge,27862209,15-19
OBJ5156289,Tranche d'âge,27862219,20-24
OBJ5156289,Tranche d'âge,27862229,25-29
OBJ5156289,Tranche d'âge,27862239,30-34
OBJ5156289,Tranche d'âge,27862249,35-39
OBJ5156289,Tranche d'âge,27862259,40-44
OBJ5156289,Tranche d'âge,27862269,45-49
OBJ5156289,Tranche d'âge,27862279,50-54
OBJ5156289,Tranche d'âge,27862289,55-59
OBJ5156289,Tranche d'âge,27862299,60-64
OBJ5156289,Tranche d'âge,27862309,65-69
OBJ5156289,Tranche d'âge,27862319,70-74
OBJ5156289,Tranche d'âge,27862329,75-79
OBJ5156289,Tranche d'âge,27862339,80 ans et plus
