dimension_id,dimension_name,element_key,element_name
OBJ5259269,Secteur institutionnel,27917669,Entreprises
OBJ5259269,Secteur institutionnel,27917679,Entreprises non financières
OBJ5259269,Secteur institutionnel,27917689,Sociétés non financières
OBJ5259269,Secteur institutionnel,27917699,Sociétés Non Financières Publiques
OBJ5259269,Secteur institutionnel,27917709,Sociétés Non Financières Privées
OBJ5259269,Secteur institutionnel,27917719,Entreprises individuelles
OBJ5259269,Secteur institutionnel,27917729,Sociétés financières
OBJ5259269,Secteur institutionnel,27917739,Institutions de Crédit
OBJ5259269,Secteur institutionnel,27917749,Sociétés d’Assurances
OBJ5259269,Secteur institutionnel,27917759,Auxiliaires financiers
OBJ5259269,Secteur institutionnel,27917769,Administrations publiques
OBJ5259269,Secteur institutionnel,27917779,Administrations Centrales
OBJ5259269,Secteur institutionnel,27917789,Collectivités locales
OBJ5259269,Secteur institutionnel,27917799,Sécurité Sociale
OBJ5259269,Secteur institutionnel,27917809,Ménages
OBJ5259269,Secteur institutionnel,27917819,Total
