dimension_id,dimension_name,element_key,element_name
OBJ5259349,Produits,27916519,Agriculture et pêche
OBJ5259349,Produits,27916529,Industries Agro-alimentaires
OBJ5259349,Produits,27916539,Industrie du Tabac
OBJ5259349,Produits,27916549,"Textile, Habillement et cuir"
OBJ5259349,Produits,27916559,Industries diverses
OBJ5259349,Produits,27916569,Raffinage de pétrole
OBJ5259349,Produits,27916579,Industries chimiques
OBJ5259349,Produits,27916589,"Materiaux de construction, céramique et verre"
OBJ5259349,Produits,27916599,Industries mécaniques et éléctriques
OBJ5259349,Produits,27916609,Extraction de pétrole  et gaz naturel
OBJ5259349,Produits,27916619,Mines
OBJ5259349,Produits,27916629,Electricité et Gaz
OBJ5259349,Produits,27916639,Eau
OBJ5259349,Produits,27916649,Bâtiment et génie civil
OBJ5259349,Produits,27916659,Entretien et réparation
OBJ5259349,Produits,27916669,Commerce
OBJ5259349,Produits,27916679,Services d'hôtellerie et de restauration
OBJ5259349,Produits,27916689,Transports
OBJ5259349,Produits,27916699,Poste et télécommunication
OBJ5259349,Produits,27916709,Services financiers
OBJ5259349,Produits,27916719,Autres Services marchands
OBJ5259349,Produits,27916729,Services  non marchands
OBJ5259349,Produits,27916739,Correction territoriale
OBJ5259349,Produits,27916749,Total
