dimension_id,dimension_name,element_key,element_name
OBJ5259829,Les agrégats,27912859,Sociétés non financières
OBJ5259829,Les agrégats,27912869,Rémunérations des salariés
OBJ5259829,Les agrégats,27912879,Revenu d'exploitation
OBJ5259829,Les agrégats,27912889,Institutions financières
OBJ5259829,Les agrégats,27912899,Rémunérations des salariés
OBJ5259829,Les agrégats,27912909,Revenu d'exploitation
OBJ5259829,Les agrégats,27912919,Administration publique
OBJ5259829,Les agrégats,27912929,Rémunérations des salariés
OBJ5259829,Les agrégats,27912939,Revenu d'exploitation
OBJ5259829,Les agrégats,27912949,Ménages
OBJ5259829,Les agrégats,27912959,Rémunérations des salariés
OBJ5259829,Les agrégats,27912969,Revenu d'exploitation
OBJ5259829,Les agrégats,27912979,Produit intérieur brut (approche revenus)
OBJ5259829,Les agrégats,27912989,Rémunérations des salariés
OBJ5259829,Les agrégats,27912999,+ Impôts sur la production et les importations
OBJ5259829,Les agrégats,27913009,- Subventions
OBJ5259829,Les agrégats,27913019,+ Revenu d'exploitation
