dimension_id,dimension_name,element_key,element_name
OBJ5261449,Opérations et soldes comptables,27927259,Emplois
OBJ5261449,Opérations et soldes comptables,27927269,Compte de production (Emplois)
OBJ5261449,Opérations et soldes comptables,27927279,Consommation intermédiaire
OBJ5261449,Opérations et soldes comptables,27927289,Valeur ajoutée brute
OBJ5261449,Opérations et soldes comptables,27927349,Compte d'exploitation (Emplois)
OBJ5261449,Opérations et soldes comptables,27927359,Rémunération des salariés
OBJ5261449,Opérations et soldes comptables,27927369,Salaires bruts
OBJ5261449,Opérations et soldes comptables,27927379,Cotisations sociales à la charge des employeurs
OBJ5261449,Opérations et soldes comptables,27927389,Autres Impôts sur la production
OBJ5261449,Opérations et soldes comptables,27927399,Subventions sur la production
OBJ5261449,Opérations et soldes comptables,27927409,Revenu d'exploitation
OBJ5261449,Opérations et soldes comptables,27927419,Compte d'affectation des revenus primaires (Emplois)
OBJ5261449,Opérations et soldes comptables,27927429,Revenus de la propriété
OBJ5261449,Opérations et soldes comptables,27927439,Intérêts
OBJ5261449,Opérations et soldes comptables,27927449,Revenus distribués par les entreprises
OBJ5261449,Opérations et soldes comptables,27927459,Loyers nets des terres et redevances
OBJ5261449,Opérations et soldes comptables,27927469,Solde des revenus primaires / Revenu national
OBJ5261449,Opérations et soldes comptables,27927479,Compte de distribution secondaire du revenu (Emplois)
OBJ5261449,Opérations et soldes comptables,27927489,Impôts courants sur les revenus et le patrimoine
OBJ5261449,Opérations et soldes comptables,27927499,Prestations sociales en espèce
OBJ5261449,Opérations et soldes comptables,27927509,Autres transferts courants
OBJ5261449,Opérations et soldes comptables,27927519,Primes nettes d'assurance-dommages
OBJ5261449,Opérations et soldes comptables,27927549,Autres transferts courants divers
OBJ5261449,Opérations et soldes comptables,27927559,Revenu disponible brut
OBJ5261449,Opérations et soldes comptables,27927569,Compte d'utilisation du revenu disponible (Emplois)
OBJ5261449,Opérations et soldes comptables,27927589,Epargne brute
OBJ5261449,Opérations et soldes comptables,27927599,Compte de capital (Emplois)
OBJ5261449,Opérations et soldes comptables,27927609,Transferts en capital
OBJ5261449,Opérations et soldes comptables,27927639,Autres transferts en capital
OBJ5261449,Opérations et soldes comptables,27927649,Formation Brute de capitale Fixe
OBJ5261449,Opérations et soldes comptables,27927659,Variation de stocks
OBJ5261449,Opérations et soldes comptables,27927669,Actifs non produits
OBJ5261449,Opérations et soldes comptables,27927679,Capacité ou besoin de financement
OBJ5261449,Opérations et soldes comptables,27927689,Ecart Statistique
OBJ5261449,Opérations et soldes comptables,27927699,Compte financier (Emplois)
OBJ5261449,Opérations et soldes comptables,27927729,Monnaie et dépôts
OBJ5261449,Opérations et soldes comptables,27927739,Titres autres que les actions
OBJ5261449,Opérations et soldes comptables,27927749,Crédits
OBJ5261449,Opérations et soldes comptables,27927759,Actions et autres participations
OBJ5261449,Opérations et soldes comptables,27927769,Réserves techniques d'assurances
OBJ5261449,Opérations et soldes comptables,27927779,Autres instruments financiers
OBJ5261449,Opérations et soldes comptables,27927789,Ressources
OBJ5261449,Opérations et soldes comptables,27927799,Compte de production (Ressources)
OBJ5261449,Opérations et soldes comptables,27927809,Production des biens et services marchands
OBJ5261449,Opérations et soldes comptables,27927859,Compte d'exploitation (Ressources)
OBJ5261449,Opérations et soldes comptables,27927869,Valeur ajoutée brute
OBJ5261449,Opérations et soldes comptables,27927879,Compte d'affectation des revenus primaires
OBJ5261449,Opérations et soldes comptables,27927889,Revenu d'exploitation
OBJ5261449,Opérations et soldes comptables,27927899,Revenus de la propriété
OBJ5261449,Opérations et soldes comptables,27927909,Intérêts
OBJ5261449,Opérations et soldes comptables,27927919,Revenus distribués par les entreprises
OBJ5261449,Opérations et soldes comptables,27927929,Loyers nets des terres et redevances
OBJ5261449,Opérations et soldes comptables,27927949,Compte de distribution secondaire du revenu (Ressources)
OBJ5261449,Opérations et soldes comptables,27927959,Solde des revenus primaires / Revenu national
OBJ5261449,Opérations et soldes comptables,27927969,Cotisations sociales
OBJ5261449,Opérations et soldes comptables,27927989,Autres transferts courants
OBJ5261449,Opérations et soldes comptables,27927999,Indemnités d'assurance-dommages
OBJ5261449,Opérations et soldes comptables,27928009,Compte d'utilisation du revenu disponible (Ressources)
OBJ5261449,Opérations et soldes comptables,27928019,Revenu disponible brut
OBJ5261449,Opérations et soldes comptables,27928029,Compte de capital (Ressources)
OBJ5261449,Opérations et soldes comptables,27928039,Epargne brute
OBJ5261449,Opérations et soldes comptables,27928049,Transferts en capital
OBJ5261449,Opérations et soldes comptables,27928329,Subventions d'investissement
OBJ5261449,Opérations et soldes comptables,27928319,Autres transferts en capital
OBJ5261449,Opérations et soldes comptables,27928079,Compte financier (Ressources)
OBJ5261449,Opérations et soldes comptables,27928089,Variation des dettes
OBJ5261449,Opérations et soldes comptables,27928119,Titres autres que les actions
OBJ5261449,Opérations et soldes comptables,27928129,Crédits
OBJ5261449,Opérations et soldes comptables,27928139,Actions et autres participations
OBJ5261449,Opérations et soldes comptables,27928159,Autres instruments financiers
