dimension_id,dimension_name,element_key,element_name
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164059,Le milieu géographique
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164069,National
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164079,Communal
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164089,Non communal
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164099,Par régions
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164109,Grand Tunis
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175009,Gouvernorat de Tunis
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175019,Gouvernorat de L'Ariana
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175029,Gouvernorat de Ben Arous
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175039,Gouvernorat de Manouba
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164119,Nord Est
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175089,Gouvernorat de Nabeul
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175099,Gouvernorat de Zaghouan
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175109,Gouvernorat de Bizerte
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164129,Nord ouest
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175119,Gouvernorat de Bèja
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175129,Gouvernorat de Jendouba
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175139,Gouvernorat du Kef
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175149,Gouvernorat de Siliana
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164139,Centre Est
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175159,Gouvernorat de Sousse
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175169,Gouvernorat de Monastir
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175179,Gouvernorat de Mahdia
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175189,Gouvernorat de Sfax
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164149,Centre Ouest
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175199,Gouvernorat de Kairouan
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175209,Gouvernorat de Kasserine
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175219,Gouvernorat de Sidi Bouzid
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164159,Sud Est
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175229,Gouvernorat de Gabès
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175239,Gouvernorat de Medenine
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175249,Gouvernorat de Tataouine
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164169,Sud Ouest
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175259,Gouvernorat de Gafsa
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175269,Gouvernorat de Tozeur
OBJ7279019,Dépense annuelle moyenne  par personne selon,28175279,Gouvernorat de Kébili
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164179,La classe socioprofessionelle du chef du ménage
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164189,Cadres et professions libérales supérieures
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164199,Cadres et professions libérales moyens
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164209,Autres employés
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164219,Patrons des petits métiers dans l'industrie
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164229,Artisans et indépendants des petits métiers
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164239,Ouvriers non agricoles
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164249,Exploitants agricoles
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164259,Ouvriers agricoles
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164269,Chômeurs
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164279,Retraités
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164289,Autres inactifs
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164299,la taille du ménage
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164309,De 1 à 2 personnes
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164319,De 3 à 4 personnes
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164329,De 5 à 6 personnes
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164339,De 7 à 8 personnes
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164349,Plus que 9 personnes
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164359,les tranches de dépense
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164369,Moins que 500 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164379,De 500 à 750 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164389,De 750 à 1000 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164399,De 1000 à 1500 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164409,De 1500 à 2000 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164419,De 2000 à 3000 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164429,De 3000 à 4500 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164439,Plus que 4500 DT
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164449,les déciles  de dépense
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164459,Premier décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164469,Deuxième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164479,Troisième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164489,Quatrième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164499,Cinquième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164509,Sixième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164519,Septième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164529,Huitième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164539,Neufième décile
OBJ7279019,Dépense annuelle moyenne  par personne selon,28164549,Dixième décile
