dimension_id,dimension_name,element_key,element_name
OBJ7280819,Produits  alimentaires,28177439,Total Blé (en équivalent grains)
OBJ7280819,Produits  alimentaires,28177449,Blé dur (en équivalent grains)
OBJ7280819,Produits  alimentaires,28177489,Borghol
OBJ7280819,Produits  alimentaires,28177499,Semoule blanche
OBJ7280819,Produits  alimentaires,28177509,Semoule asmar
OBJ7280819,Produits  alimentaires,28177519,Couscous sec à base de Semoule blanche
OBJ7280819,Produits  alimentaires,28177529,Couscous sec asmar
OBJ7280819,Produits  alimentaires,28177539,M’hames
OBJ7280819,Produits  alimentaires,28177549,Pâte  alimentaire industrielle
OBJ7280819,Produits  alimentaires,28177559,"Autres produits à base de blé dur (soupe, nouasser, ravioli préparé avec de la viande - des légumes - du fromage)"
OBJ7280819,Produits  alimentaires,28177569,Blé tendre (en équivalent grains)
OBJ7280819,Produits  alimentaires,28177579,Farine de blé tendre
OBJ7280819,Produits  alimentaires,28177589,Grand pain de boulangerie
OBJ7280819,Produits  alimentaires,28177599,Baguette de boulangerie
OBJ7280819,Produits  alimentaires,28177609,"Autre pain à base de boulangerie (mbasses, brioche…)"
OBJ7280819,Produits  alimentaires,28177619,Produits à base d'orge (en équivalent grains)
OBJ7280819,Produits  alimentaires,28177629,Malthouth sec
OBJ7280819,Produits  alimentaires,28177639,Orge en frik
OBJ7280819,Produits  alimentaires,28177649,Semoule d’orge pour pain
OBJ7280819,Produits  alimentaires,28177659,Pain d’orge cuit
OBJ7280819,Produits  alimentaires,28177669,Autres produits à base d’orge
OBJ7280819,Produits  alimentaires,28177679,autres céréales (en équivalent grains)
OBJ7280819,Produits  alimentaires,28177689,Riz en grain ; en vrac
OBJ7280819,Produits  alimentaires,28177699,Sorgho en grain
OBJ7280819,Produits  alimentaires,28177709,Maïs en grains
OBJ7280819,Produits  alimentaires,28177719,Farine de sorgho
OBJ7280819,Produits  alimentaires,28177729,Amidon
OBJ7280819,Produits  alimentaires,28177739,Autres céréales transformées
OBJ7280819,Produits  alimentaires,28177749,autres produits à base de céréales
OBJ7280819,Produits  alimentaires,28177759,Levure industrielle
OBJ7280819,Produits  alimentaires,28177769,Levure  de maison
OBJ7280819,Produits  alimentaires,28177779,Biscuit simple
OBJ7280819,Produits  alimentaires,28177789,Pâtisserie de souk
OBJ7280819,Produits  alimentaires,28177799,Pâtisserie de maison
OBJ7280819,Produits  alimentaires,28177809,Beignet souk
OBJ7280819,Produits  alimentaires,28177819,Bsissa à l’état farine
OBJ7280819,Produits  alimentaires,28177829,Bsissa huilée et sucrée
OBJ7280819,Produits  alimentaires,28177839,Bsissa huilée et non sucrée
OBJ7280819,Produits  alimentaires,28177849,Bsissa sucrée et non huilée
OBJ7280819,Produits  alimentaires,28177859,Farine lactée (Céréale ; Saha ; Sinlac …)
OBJ7280819,Produits  alimentaires,28177869,Malsouka (brik)
OBJ7280819,Produits  alimentaires,28177879,"Autres produits à base de céréales (biscottes, grains d'or…)"
