dimension_id,dimension_name,element_key,element_name
OBJ9105639,Groupe d'âge,28315389,Total
OBJ9105639,Groupe d'âge,28315399,0-4 ans
OBJ9105639,Groupe d'âge,28315419,5-9 ans
OBJ9105639,Groupe d'âge,28315429,10-14 ans
OBJ9105639,Groupe d'âge,28315449,15-19 ans
OBJ9105639,Groupe d'âge,28315489,20-24 ans
OBJ9105639,Groupe d'âge,28315519,25-29 ans
OBJ9105639,Groupe d'âge,28315539,30-34 ans
OBJ9105639,Groupe d'âge,28315569,35-39 ans
OBJ9105639,Groupe d'âge,28315589,40-44 ans
OBJ9105639,Groupe d'âge,28315619,45-49 ans
OBJ9105639,Groupe d'âge,28315649,50-54 ans
OBJ9105639,Groupe d'âge,28315689,55-59 ans
OBJ9105639,Groupe d'âge,28317919,50-59 ans
OBJ9105639,Groupe d'âge,28315719,60-64 ans
OBJ9105639,Groupe d'âge,28315749,65-69 ans
OBJ9105639,Groupe d'âge,28315779,70-74 ans
OBJ9105639,Groupe d'âge,28315809,75-79 ans
OBJ9105639,Groupe d'âge,28317929,50 ans et plus
OBJ9105639,Groupe d'âge,28317809,60 ans et plus
OBJ9105639,Groupe d'âge,28315839,80 ans et plus
OBJ9105639,Groupe d'âge,28317849,0-14 ans
OBJ9105639,Groupe d'âge,28317859,15-59 ans
OBJ9105639,Groupe d'âge,28317939,Non déclaré
