dimension_id,KEY,NAME,parent_key,C_UNIT_,ISCALCULATED,FULLNAME,DESCRIPTION,VISIBILITY,C_CODE,C_DERNI_RE_MISE___JOUR,C_PERIODICIT_,C_SOURCE,C_M_THODOLOGIE,C_CAT_GORIE,C_COMMENTAIRE,C_ORGANISATION_CHEF_DE_FILE
OBJ10027429,28528939,Taux de chômage (population agée 15 ans et plus) selon les groupes d'âges,,Pourcentage,,Taux de chômage (population agée 15 ans et plus) selon les groupes d'âges,,"1, 2",IndEmp1,13/11/2020 11:29:52,Trimestrielle,Insitut National de la Statistique,Enquête national de la population et de l'emploi,1,,Organisation internationale du travail
OBJ10027429,28528949,Taux de chômage des handicapés (population handicapée agée 15 ans et plus) par milieu,,Pourcentage,,Taux de chômage des handicapés (population agée 15 ans et plus) par milieu,,"1, 2",IndEmp2,13/11/2020 11:29:52,Décinale,Insitut National de la Statistique,Recensement général de la population et de l'habitat,2,,Organisation internationale du travail
OBJ10027429,28528959,Taux d'activité (population agée 15 ans et plus) selon l'état matrimonial,,Pourcentage,,Taux d'activité (population agée 15 ans et plus) selon l'état matrimonial,,"1, 2",IndEmp3,13/11/2020 11:29:52,Trimestrielle,Insitut National de la Statistique,Enquête national de la population et de l'emploi,1,,Organisation internationale du travail
OBJ10027429,28528969,Population occupée (15 ans et plus) par secteur d'activité et gouvernorat,,Pourcentage,,Population occupée (15 ans et plus) par secteur d'activité et gouvernorat,,"1, 2",IndEmp4,13/11/2020 11:29:52,Annuelle,Insitut National de la Statistique,Enquête national de la population et de l'emploi,1,,Organisation internationale du travail
OBJ10027429,28528979,Proportion des personnes occupées (15 ans et plus) selon le statut dans l'emploi,,Pourcentage,,Proportion des personnes occupées (15 ans et plus) selon le statut dans l'emploi,,"1, 2",IndEmp5,13/11/2020 11:29:52,Annuelle,Insitut National de la Statistique,Enquête micro-entreprises,2,,Organisation internationale du travail
OBJ10027429,28629569,Ecart entre les deux sexes,28528979,Dinar Tunisien,,Proportion des personnes occupées (15 ans et plus) selon le statut dans l'emploi\Ecart entre les deux sexes,,"1, 2",,,Quinquennale,Institut National de la Statistique,Enquête micro-entreprises,1,,Organisation internationale du travail
OBJ10027429,28528989,Evolution de la population occupée (15 ans et plus) par secteur d’activité,,Nombre en milliers,,Evolution de la population occupée (15 ans et plus) par secteur d’activité,,"1, 2",IndEmp6,13/11/2020 11:29:52,Annuelle,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28729669,Pourcentage d'emplois dans le secteur non agricole non structuré,28528989,Pour centage,,Evolution de la population occupée (15 ans et plus) par secteur d’activité\Pourcentage d'emplois dans le secteur non agricole non structuré,,"1, 2",PENA,,Quinquennale,Institut National de la Statistique,,1,,Institut National de la Statistique
OBJ10027429,28528999,"Ecart de salaire entre les femmes et les hommes,  dans les micro-entreprises",,Pourcentage,,"Ecart de salaire entre les femmes et les hommes,  dans les micro-entreprises",,"1, 2",IndEmp7,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529009,Salaire moyen mensuel en DT,28528999,En Dinars Tunisien,,"Ecart de salaire entre les femmes et les hommes,  dans les micro-entreprises\Salaire moyen mensuel en DT",,"1, 2",IndEmp8,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
