dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE,C_VISIBILIT_
OBJ10027499,28528819,Total,,,T,False
OBJ10027499,28528829,Indépendants,,,I,False
OBJ10027499,28528839,Patrons,,,P,False
OBJ10027499,28629579,Entrepreneurs,,,E,False
OBJ10027499,28528849,Associés,,,A,False
OBJ10027499,28528859,Salariés,,,S,False
OBJ10027499,28528869,Aide familial,,,A,False
OBJ10027499,28528879,Apprentis,,,AP,False
OBJ10027499,28528889,Autres,,,_O,False
OBJ10027499,28528899,Non déclarés,,,_X,False
OBJ10027499,28629559,Non applicable,,,_Z,False
