dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE,C_VISIBILIT_
OBJ10330179,28737069,Aucune éducation,,,NA,yes
OBJ10330179,28737059,Année préparatoire,,,PY,yes
OBJ10330179,28736449,Enseignement de base et enseignement secondaire,,,BSE,yes
OBJ10330179,28736459,Enseignement de base,28736449,,BE,yes
OBJ10330179,28736469,1er cycle de l'enseignement de base,28736459,,BE_1ST,yes
OBJ10330179,28736479,1ère année,28736469,,BE1,yes
OBJ10330179,28736489,2ème année,28736469,,BE2,yes
OBJ10330179,28736499,3ème année,28736469,,BE3,yes
OBJ10330179,28736509,4ème année,28736469,,BE4,yes
OBJ10330179,28736519,5ème année,28736469,,BE5,yes
OBJ10330179,28736529,6ème année,28736469,,BE6,yes
OBJ10330179,28736539,2ème cycle de l'enseignement de base,28736459,,BE_2ND,yes
OBJ10330179,28736549,7ème année,28736539,,BE7,yes
OBJ10330179,28736559,8ème année,28736539,,BE8,yes
OBJ10330179,28736569,9ème année,28736539,,BE9,yes
OBJ10330179,28736579,Enseignement secondaire,28736449,,SE,yes
OBJ10330179,28736589,1ère année,28736579,,SE1,yes
OBJ10330179,28736599,2ème année,28736579,,SE2,yes
OBJ10330179,28736609,3ème année,28736579,,SE3,yes
OBJ10330179,28736619,4ème année (Baccalauréat),28736579,,SE4,yes
OBJ10330179,28736629,Enseignement supérieur,,,SUPE,yes
OBJ10330179,28736639,Total,,,_T,yes
