dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,VISIBILITY,C_M_THODOLOGIE,ISCALCULATED
OBJ10957849,28741479,"Agriculture, sylviculture et pêche",,"Valeur ajoutée du secteur de l'agriculture, sylviculture et pêche",,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741489,Extraction du pétrole et du gaz naturel,,Valeur ajoutée du secteur de l'extraction du pétrole et du gaz naturel,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741499,Extraction des produits miniers,,Valeur ajoutée du secteur de l'extraction des produits miniers,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741509,Industries agro-alimentaires,,Valeur ajoutée du secteur de l'industries agro-alimentaires,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741519,"Industrie du textile, de l’habillement et du cuir",,"Valeur ajoutée du secteur de l'industrie du textile, de l’habillement et du cuir",,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741529,Raffinage du pétrole,,Valeur ajoutée du secteur de raffinage du pétrole,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741539,Industries chimiques,,Valeur ajoutée du secteur de l'industries chimiques,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741549,"Industrie des matériaux de construction, céramique et verre",,"Valeur ajoutée du secteur de l'industrie des matériaux de construction, céramique et verre",,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741559,Industries mécaniques et électriques,,Valeur ajoutée du secteur de l'industries mécaniques et électriques,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741569,Industries diverses,,Valeur ajoutée du secteur de l'industries diverses,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741579,Production et distribution de l'électricité et du gaz,,Valeur ajoutée du secteur de la production et distribution de l'électricité et du gaz,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741589,Distribution d'eau et traitement des eaux usées et des déchets,,Valeur ajoutée du secteur de la distribution d'eau et traitement des eaux usées et des déchets,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741599,Construction,,Valeur ajoutée du secteur de la construction,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741609,"Commerce, entretien et réparation",,"Valeur ajoutée du secteur du commerce, entretien et réparation",,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741619,Services du transport et entreposage,,Valeur ajoutée du secteur des Services du transport et entreposage,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741629,"Services d'hôtellerie, de café et de restauration",,"Valeur ajoutée du secteur des Services d'hôtellerie, de café et de restauration",,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741639,Information et communication,,Valeur ajoutée du secteur de l'information et communication,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741649,Activités financières,,Valeur ajoutée du secteur de l'activités financières,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741659,Services d'administration publique et de défense,,Valeur ajoutée du secteur des services d'administration publique et de défense,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741669,Enseignement privé et publique,,Valeur ajoutée du secteur de l'enseignement privé et publique,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741679,Santé et action sociale privé et publique,,Valeur ajoutée du secteur de la santé et action sociale privé et publique,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741689,Autres services marchands,,Valeur ajoutée du secteur des autres services marchands,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741699,Autres activités des ménages,,Valeur ajoutée du secteur des autres activités des ménages,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741709,Services fournis par les organisations associatives,,Valeur ajoutée du secteur des services fournis par les organisations associatives,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741819,Activités marchandes,,Valeurs ajoutées du secteur Activités marchandes,,,,"1, 2",,
OBJ10957849,28741829,Activités non marchandes,,Valeurs ajoutées du secteur Activités non marchandes,,,,"1, 2",,
OBJ10957849,28741839,Total des valeurs ajoutées,,Total des valeurs ajoutées,,,,"1, 2",,
OBJ10957849,28741719,Impôts nets de subventions sur les produits,,Valeur ajoutée du secteur de l'impôts nets de subventions sur les produits,,,20/08/2021 14:25:18,"1, 2",,
OBJ10957849,28741729,Produit Intérieur Brut,,Valeur ajoutée du secteur des produit Intérieur Brut,,,20/08/2021 14:25:18,"1, 2",,
