dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_M_THODOLOGIE,C_DATE_DE_MISE___JOUR,ISCALCULATED,VISIBILITY
OBJ11279089,28751769,"Agriculture, sylviculture et pêche",,"Agriculture, sylviculture et pêche",,,,,,"1, 2"
OBJ11279089,28751779,Extraction du pétrole et du gaz naturel,,Extraction du pétrole et du gaz naturel,,,,,,"1, 2"
OBJ11279089,28751789,Extraction des produits miniers,,Extraction des produits miniers,,,,,,"1, 2"
OBJ11279089,28751799,Industries agro-alimentaires,,Industries agro-alimentaires,,,,,,"1, 2"
OBJ11279089,28751809,"Industrie du textile, de l’habillement et du cuir",,"Industrie du textile, de l’habillement et du cuir",,,,,,"1, 2"
OBJ11279089,28751819,Raffinage du pétrole,,Raffinage du pétrole,,,,,,"1, 2"
OBJ11279089,28751829,Industries chimiques,,Industries chimiques,,,,,,"1, 2"
OBJ11279089,28751839,Industrie d'autres produits minéraux non métalliques,,Industrie d'autres produits minéraux non métalliques,,,,,,"1, 2"
OBJ11279089,28751849,Industries mécaniques et électriques,,Industries mécaniques et électriques,,,,,,"1, 2"
OBJ11279089,28751859,Industries diverses,,Industries diverses,,,,,,"1, 2"
OBJ11279089,28751869,Production et distribution de l'électricité et du gaz,,Production et distribution de l'électricité et du gaz,,,,,,"1, 2"
OBJ11279089,28751879,"Production et distribution d'eau, assainissement et gestion des déchets",,"Production et distribution d'eau, assainissement et gestion des déchets",,,,,,"1, 2"
OBJ11279089,28751889,Construction,,Construction,,,,,,"1, 2"
OBJ11279089,28751899,Commerce et réparation,,Commerce et réparation,,,,,,"1, 2"
OBJ11279089,28751909,Transport et entreposage,,Transport et entreposage,,,,,,"1, 2"
OBJ11279089,28751919,Hébergement et restauration,,Hébergement et restauration,,,,,,"1, 2"
OBJ11279089,28751929,Information et communication,,Information et communication,,,,,,"1, 2"
OBJ11279089,28751939,Activités financières et d'assurance,,Activités financières et d'assurance,,,,,,"1, 2"
OBJ11279089,28751949,Administration publique et défense,,Administration publique et défense,,,,,,"1, 2"
OBJ11279089,28751959,Enseignement,,Enseignement,,,,,,"1, 2"
OBJ11279089,28751969,Santé humaine et action sociale,,Santé humaine et action sociale,,,,,,"1, 2"
OBJ11279089,28751979,Autres services marchands,,Autres services marchands,,,,,,"1, 2"
OBJ11279089,28751989,Autres activités des ménages,,Autres activités des ménages,,,,,,"1, 2"
OBJ11279089,28751999,Activités des organisations associatives,,Activités des organisations associatives,,,,,,"1, 2"
OBJ11279089,28752009,Sous total. Activités marchandes,,Sous total. Activités marchandes,,,,,,"1, 2"
OBJ11279089,28752019,Sous total. Activités non marchandes,,Sous total. Activités non marchandes,,,,,,"1, 2"
OBJ11279089,28752029,Total des valeurs ajoutées,,Total des valeurs ajoutées,,,,,,"1, 2"
OBJ11279089,28752039,Impôts nets de subventions sur les produits,,Impôts nets de subventions sur les produits,,,,,,"1, 2"
OBJ11279089,28752049,Produit Intérieur Brut (PIB),,Produit Intérieur Brut (PIB),,,,,,"1, 2"
