dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_NOMENCLATURE,ISCALCULATED
OBJ11288649,28758739,"Agriculture, sylviculture et pêche",,الفلاحة و الصيد البحري,,
OBJ11288649,28758749,Extraction du pétrole et du gaz naturel,,استخراج النفط و الغاز الطبيعي,,
OBJ11288649,28758759,Extraction des produits miniers,,المناجم,,
OBJ11288649,28758769,Industries agro-alimentaires,,الصناعات الغذائية,,
OBJ11288649,28758779,"Industrie du textile, de l’habillement et du cuir",,صناعة النسيج والملابس والجلد,,
OBJ11288649,28758789,Raffinage du pétrole,,تكرير النفط,,
OBJ11288649,28758799,Industries chimiques,,الصناعات الكيميائية,,
OBJ11288649,28758809,Industrie d'autres produits minéraux non métalliques,,صناعة المنتجات المعدنية الأخرى,,
OBJ11288649,28758819,Industries mécaniques et électriques,,الصناعات الميكانكية والكهربائية,,
OBJ11288649,28758829,Industries diverses,,صناعات مختلفة,,
OBJ11288649,28758839,Production et distribution de l'électricité et du gaz,,الكهرباء و الغاز,,
OBJ11288649,28758849,"Production et distribution d'eau, assainissement et gestion des déchets",,توزيع المياه ومعالجة مياه الصرف الصحي والنفايات,,
OBJ11288649,28758859,Construction,,البناء والأشغال العامة,,
OBJ11288649,28758869,Commerce et réparation,,التجارة و صيانة,,
OBJ11288649,28758879,Transport et entreposage,,خدمات النقل والتخزين,,
OBJ11288649,28758889,Hébergement et restauration,,خدمات النزل و المقاهي و المطاعم,,
OBJ11288649,28758899,Information et communication,,المعلومات والاتصال,,
OBJ11288649,28758909,Activités financières et d'assurance,,خدمات مالية والتأمين,,
OBJ11288649,28758919,Autres Services marchands,,إجمالي تكوين رأس المال الثابت في مجال خدمات تجارية أخرى,,
OBJ11288649,28758929,dont logement,28758919,إجمالي تكوين رأس المال الثابت في مجال منها المساكن,,
OBJ11288649,28758939,Equipements collectifs des administrations publiques,,إجمالي تكوين رأس المال الثابت في مجال المرافق المشتركة للإدارة العمومية,,
OBJ11288649,28758949,Education et formation,28758939,إجمالي تكوين رأس المال الثابت في مجال التعليم والتكوين,,
OBJ11288649,28758959,Santé,28758939,إجمالي تكوين رأس المال الثابت في مجال الصحة,,
OBJ11288649,28758969,Assainissement,28758939,إجمالي تكوين رأس المال الثابت في مجال الصرف الصحي,,
OBJ11288649,28758979,Urbanisme,28758939,إجمالي تكوين رأس المال الثابت في مجال تخطيط المدن,,
OBJ11288649,28758989,Social et culturel,28758939,إجمالي تكوين رأس المال الثابت في مجال الاجتماعية والثقافية,,
OBJ11288649,28758999,Services administratifs divers,28758939,إجمالي تكوين رأس المال الثابت في مجال مختلف الخدمات الإدارية,,
OBJ11288649,28759009,Total,,إجمالي تكوين رأس المال الثابت في مجال المجموع,,
