dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_NOMENCLATURE,ISCALCULATED
OBJ5258389,27876269,Total,,,,
OBJ5258389,27876279,10-14,,,,
OBJ5258389,27876289,15-19,,,,
OBJ5258389,27876299,20-24,,,,
OBJ5258389,27876309,25-29,,,,
OBJ5258389,27876319,30-34,,,,
OBJ5258389,27876329,35-39,,,,
OBJ5258389,27876339,40-44,,,,
OBJ5258389,27876349,45-49,,,,
OBJ5258389,27876359,50-54,,,,
OBJ5258389,27876369,55-59,,,,
OBJ5258389,27876379,60-64,,,,
OBJ5258389,27876389,65-69,,,,
OBJ5258389,27876399,70-74,,,,
OBJ5258389,27876409,75-79,,,,
OBJ5258389,27876419,80 ans et plus,,,,
