dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,ISCALCULATED,VISIBILITY
OBJ5258649,27915419,Agriculture et pêche,,Valeur des produits Agriculture et pêche,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915429,Industries Agro-alimentaires,,Valeur des produits Industries Agro-alimentaires,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915439,Industrie du Tabac,,Valeur des produits Industrie du Tabac,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915449,"Textile, Habillement et cuir",,"Valeur des produits Textile, Habillement et cuir",,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915459,Industries diverses,,Valeur des produits Industries diverses,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915469,Raffinage de pétrole,,Valeur des produits Raffinage de pétrole,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915479,Industries chimiques,,Valeur des produits Industries chimiques,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915489,"Materiaux de construction, céramique et verre",,"Valeur des produits Materiaux de construction, céramique et verre",,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915499,Industries mécaniques et éléctriques,,Valeur des produits Industries mécaniques et éléctriques,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915509,Extraction de pétrole  et gaz naturel,,Valeur des produits Extraction de pétrole  et gaz naturel,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915519,Mines,,Valeur des produits Mines,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915529,Electricité et Gaz,,Valeur des produits Electricité et Gaz,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915539,Eau,,Valeur des produits Eau,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915549,Bâtiment et génie civil,,Valeur des produits Bâtiment et génie civil,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915559,Entretien et réparation,,Valeur des produits Entretien et réparation,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915569,Commerce,,Valeur des produits Commerce,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915579,Services d'hôtellerie et de restauration,,Valeur des produits Services d'hôtellerie et de restauration,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915589,Transports,,Valeur des produits Transports,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915599,Poste et télécommunication,,Valeur des produits Poste et télécommunication,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915609,Services financiers,,Valeur des produits Services financiers,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915619,Autres Services marchands,,Valeur des produits Autres Services marchands,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915629,Services  non marchands,,Valeur des produits Services  non marchands,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915639,Dont Administration publique,27915629,Valeur des produits Dont Administration publique,,,25/04/2015 04:53:06,,,"1, 2"
OBJ5258649,27915659,Total,,Valeur du Total des produits,,,25/04/2015 04:53:06,,,"1, 2"
