dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,C_DATE_DE_MISE___JOUR,DESCRIPTION,C_M_THODOLOGIE,ISCALCULATED,VISIBILITY
OBJ5258729,27915709,Agriculture et pêche,,Valeur de production du secteur Agriculture et pêche,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915719,Industries Agro-alimentaires,,Valeur de production du secteur Industries Agro-alimentaires,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915729,Industrie du Tabac,,Valeur de production du secteur Industrie du Tabac,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915739,"Textile, Habillement et cuir",,"Valeur de production du secteur Textile, Habillement et cuir",,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915749,Industries diverses,,Valeur de production du secteur Industries diverses,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915759,Raffinage de pétrole,,Valeur de production du secteur Raffinage de pétrole,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915769,Industries chimiques,,Valeur de production du secteur Industries chimiques,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915779,"Materiaux de construction, céramique et verre",,"Valeur de production du secteur Materiaux de construction, céramique et verre",,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915789,Industries mécaniques et éléctriques,,Valeur de production du secteur Industries mécaniques et éléctriques,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915799,Extraction de pétrole  et gaz naturel,,Valeur de production du secteur Extraction de pétrole  et gaz naturel,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915809,Mines,,Valeur de production du secteur Mines,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915819,Electricité et Gaz,,Valeur de production du secteur Electricité et Gaz,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915829,Eau,,Valeur de production du secteur Eau,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915839,Bâtiment et génie civil,,Valeur de production du secteur Bâtiment et génie civil,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915849,Entretien et réparation,,Valeur de production du secteur Entretien et réparation,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915859,Commerce,,Valeur de production du secteur Commerce,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915869,Services d'hôtellerie et de restauration,,Valeur de production du secteur Services d'hôtellerie et de restauration,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915879,Transports,,Valeur de production du secteur Transports,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915889,Poste et télécommunication,,Valeur de production du secteur Poste et télécommunication,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915899,Services financiers,,Valeur de production du secteur Services financiers,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915909,Autres Services marchands,,Valeur de production du secteur Autres Services marchands,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915919,Services  non marchands,,Valeur de production du secteur Services  non marchands,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915929,Dont Administration publique,,Valeur de production du secteur Dont Administration publique,,25/04/2015 06:35:38,,,,"1, 2"
OBJ5258729,27915949,Total,,Valeur Total de production,,25/04/2015 06:35:38,,,,"1, 2"
