dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,ISCALCULATED,VISIBILITY,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE
OBJ5258839,27916039,Agriculture et pêche,,Valeurs ajoutées du secteur Agriculture et pêche,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916049,Industries manufacturières,,Valeurs ajoutées du secteur Industries manufacturières,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916059,Industries Agro-alimentaires,27916049,Valeurs ajoutées du secteur Industries Agro-alimentaires,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916069,Industrie du Tabac,27916049,Valeurs ajoutées du secteur Industrie du Tabac,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916079,"Textile, Habillement et cuir",27916049,"Valeurs ajoutées du secteur Textile, Habillement et cuir",,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916089,Industries diverses,27916049,Valeurs ajoutées du secteur Industries diverses,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916099,Raffinage de pétrole,27916049,Valeurs ajoutées du secteur Raffinage de pétrole,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916109,Industries chimiques,27916049,Valeurs ajoutées du secteur Industries chimiques,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916119,"Materiaux de construction, céramique et verre",27916049,"Valeurs ajoutées du secteur Materiaux de construction, céramique et verre",,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916129,Industries mécaniques et éléctriques,27916049,Valeurs ajoutées du secteur Industries mécaniques et éléctriques,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916139,Industries non manufacturières,,Valeurs ajoutées du secteur Industries non manufacturières,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916149,Extraction de pétrole  et gaz naturel,27916139,Valeurs ajoutées du secteur Extraction de pétrole  et gaz naturel,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916159,Mines,27916139,Valeurs ajoutées du secteur Mines,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916169,Electricité et Gaz,27916139,Valeurs ajoutées du secteur Electricité et Gaz,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916179,Eau,27916139,Valeurs ajoutées du secteur Eau,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916189,Bâtiment et génie civil,27916139,Valeurs ajoutées du secteur Bâtiment et génie civil,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916199,Activités de services marchands,,Valeurs ajoutées du secteur Activités de services marchands,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916209,Entretien et réparation,27916199,Valeurs ajoutées du secteur Entretien et réparation,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916219,Commerce,27916199,Valeurs ajoutées du secteur Commerce,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916229,Services d'hôtellerie et de restauration,27916199,Valeurs ajoutées du secteur Services d'hôtellerie et de restauration,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916239,Transports,27916199,Valeurs ajoutées du secteur Transports,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916249,Poste et télécommunication,27916199,Valeurs ajoutées du secteur Poste et télécommunication,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916259,Services financiers,27916199,Valeurs ajoutées du secteur Services financiers,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916269,Autres Services marchands,27916199,Valeurs ajoutées du secteur Autres Services marchands,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916279,Consommation intermédiaire non ventilée en service financiers (en -),,Valeurs ajoutées du secteur Consommation intermédiaire non ventilée en service financiers (en -),,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916289,Activités marchands,,Valeurs ajoutées du secteur Activités marchands,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916299,Activités non marchands,,Valeurs ajoutées du secteur Activités non marchands,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916309,Services de l'Administration publique,27916299,Valeurs ajoutées du secteur Services de l'Administration publique,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,28738659,Services fournis par les organisations associatives,27916299,Services fournis par les organisations associatives,,,,"1, 2",06/11/2021 13:59:00,
OBJ5258839,27916329,Services domestiques,27916299,Valeurs ajoutées du secteur Services domestiques,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916339,PIB (aux cout des facteurs),,PIB (aux cout des facteurs),,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916349,Impôts indirects nets de subventions sur les produits,,Impôts indirects nets de subventions sur les produits,,,,"1, 2",25/04/2015 07:59:59,
OBJ5258839,27916359,PIB (aux prix du marché),,PIB (aux prix du marché),,,,"1, 2",25/04/2015 07:59:59,
