dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,ISCALCULATED,C_NOMENCLATURE
OBJ5259269,27917669,Entreprises,,,,
OBJ5259269,27917679,Entreprises non financières,27917669,,,
OBJ5259269,27917689,Sociétés non financières,27917679,,,
OBJ5259269,27917699,Sociétés Non Financières Publiques,27917689,,,
OBJ5259269,27917709,Sociétés Non Financières Privées,27917689,,,
OBJ5259269,27917719,Entreprises individuelles,27917679,,,
OBJ5259269,27917729,Sociétés financières,27917669,,,
OBJ5259269,27917739,Institutions de Crédit,27917729,,,
OBJ5259269,27917749,Sociétés d’Assurances,27917729,,,
OBJ5259269,27917759,Auxiliaires financiers,27917729,,,
OBJ5259269,27917769,Administrations publiques,,,,
OBJ5259269,27917779,Administrations Centrales,27917769,,,
OBJ5259269,27917789,Collectivités locales,27917769,,,
OBJ5259269,27917799,Sécurité Sociale,27917769,,,
OBJ5259269,27917809,Ménages,,,,
OBJ5259269,27917819,Total,,,,
