dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,VISIBILITY,ISCALCULATED
OBJ5259349,27916519,Agriculture et pêche,,Consommation finale des ménages des produits Agriculture et pêche,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916529,Industries Agro-alimentaires,,Consommation finale des ménages des produits Industries Agro-alimentaires,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916539,Industrie du Tabac,,Consommation finale des ménages des produits Industrie du Tabac,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916549,"Textile, Habillement et cuir",,"Consommation finale des ménages des produits Textile, Habillement et cuir",,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916559,Industries diverses,,Consommation finale des ménages des produits Industries diverses,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916569,Raffinage de pétrole,,Consommation finale des ménages des produits Raffinage de pétrole,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916579,Industries chimiques,,Consommation finale des ménages des produits Industries chimiques,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916589,"Materiaux de construction, céramique et verre",,"Consommation finale des ménages des produits Materiaux de construction, céramique et verre",,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916599,Industries mécaniques et éléctriques,,Consommation finale des ménages des produits Industries mécaniques et éléctriques,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916609,Extraction de pétrole  et gaz naturel,,Consommation finale des ménages des produits Extraction de pétrole  et gaz naturel,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916619,Mines,,Consommation finale des ménages des produits Mines,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916629,Electricité et Gaz,,Consommation finale des ménages des produits Electricité et Gaz,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916639,Eau,,Consommation finale des ménages des produits Eau,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916649,Bâtiment et génie civil,,Consommation finale des ménages des produits Bâtiment et génie civil,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916659,Entretien et réparation,,Consommation finale des ménages des produits Entretien et réparation,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916669,Commerce,,Consommation finale des ménages des produits Commerce,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916679,Services d'hôtellerie et de restauration,,Consommation finale des ménages des produits Services d'hôtellerie et de restauration,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916689,Transports,,Consommation finale des ménages des produits Transports,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916699,Poste et télécommunication,,Consommation finale des ménages des produits Poste et télécommunication,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916709,Services financiers,,Consommation finale des ménages des produits Services financiers,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916719,Autres Services marchands,,Consommation finale des ménages des produits Autres Services marchands,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916729,Services  non marchands,,Consommation finale des ménages des produits Services  non marchands,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916739,Correction territoriale,,Correction territoriale,,,25/04/2015 08:39:37,,"1, 2",
OBJ5259349,27916749,Total,,Valeur du Total de la Consommation finale des ménages des produits,,,25/04/2015 08:39:37,,"1, 2",
