dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_NOMENCLATURE,ISCALCULATED
OBJ5259439,27917969,Agriculture et pêche,,,,
OBJ5259439,27917979,Industries Agro-alimentaires,,,,
OBJ5259439,27917989,Industrie du Tabac,,,,
OBJ5259439,27917999,"Textile, Habillement et cuir",,,,
OBJ5259439,27918009,Industries diverses,,,,
OBJ5259439,27918019,Raffinage de pétrole,,,,
OBJ5259439,27918029,Industries chimiques,,,,
OBJ5259439,27918039,"Materiaux de construction, céramique et verre",,,,
OBJ5259439,27918049,Industries mécaniques et éléctriques,,,,
OBJ5259439,27918059,Extraction de pétrole  et gaz naturel,,,,
OBJ5259439,27918069,Mines,,,,
OBJ5259439,27918139,Transports,,,,
OBJ5259439,27918149,Poste et télécommunication,,,,
OBJ5259439,27918159,Services financiers,,,,
OBJ5259439,27918169,Autres Services marchands,,,,
OBJ5259439,27918179,Services  non marchands,,,,
OBJ5259439,27918189,Correction territoriale,,,,
OBJ5259439,27918199,Correction CAF/FAB,,,,
OBJ5259439,27918209,Total,,,,
