dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_NOMENCLATURE,ISCALCULATED
OBJ5259529,27918219,Agriculture et pêche,,,,
OBJ5259529,27918229,Industries Agro-alimentaires,,,,
OBJ5259529,27918239,Industrie du Tabac,,,,
OBJ5259529,27918249,"Textile, Habillement et cuir",,,,
OBJ5259529,27918259,Industries diverses,,,,
OBJ5259529,27918269,Raffinage de pétrole,,,,
OBJ5259529,27918279,Industries chimiques,,,,
OBJ5259529,27918289,"Materiaux de construction, céramique et verre",,,,
OBJ5259529,27918299,Industries mécaniques et éléctriques,,,,
OBJ5259529,27918309,Extraction de pétrole  et gaz naturel,,,,
OBJ5259529,27918319,Mines,,,,
OBJ5259529,27918329,Electricité et Gaz,,,,
OBJ5259529,27918339,Eau,,,,
OBJ5259529,27918349,Bâtiment et génie civil,,,,
OBJ5259529,27918359,Entretien et réparation,,,,
OBJ5259529,27918369,Commerce,,,,
OBJ5259529,27918379,Services d'hôtellerie et de restauration,,,,
OBJ5259529,27918389,Transports,,,,
OBJ5259529,27918399,Poste et télécommunication,,,,
OBJ5259529,27918409,Services financiers,,,,
OBJ5259529,27918419,Autres Services marchands,,,,
OBJ5259529,27918429,Services  non marchands,,,,
OBJ5259529,27918439,Dont Administration publique,,,,
OBJ5259529,27918449,Correction territoriale,,,,
OBJ5259529,27918459,Total,,,,
