dimension_id,KEY,NAME,parent_key,C_UNIT_,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,VISIBILITY,ISCALCULATED
OBJ5259679,27918609,Impôts indirects nets de subvention sur les produits,,,Impôts indirects nets de subvention sur les produits,,,05/04/2015 13:54:00,,"1, 2",
OBJ5259679,27918669,Impôts sur les produits,27918609,,Impôts sur les produits,,,05/04/2015 14:44:00,,"1, 2",
OBJ5259679,27918619,TVA non déductible,27918669,,TVA non déductible,,,05/04/2015 14:44:00,,"1, 2",
OBJ5259679,27918629,Droits et impôts sur les importations,27918669,,Droits et impôts sur les importations,,,05/04/2015 14:44:00,,"1, 2",
OBJ5259679,27918639,Autres impôts sur les produits,27918669,,Autres impôts sur les produits,,,05/04/2015 14:45:00,,"1, 2",
OBJ5259679,27918649,Subventions sur les produits,27918609,,Subventions sur les produits,,,05/04/2015 14:45:00,,"1, 2",
OBJ5259679,27918659,Impôts nets des subventions sur les produits,27918609,,Impôts nets des subventions sur les produits,,,05/04/2015 14:45:00,,"1, 2",
OBJ5259679,27918679,Transferts sociaux en nature,,,Transferts sociaux en nature,,,,,"1, 2",
OBJ5259679,27918689,Ressources,27918679,,Ressources,,,,,"1, 2",
OBJ5259679,27918699,Transferts sociaux en nature (R),27918689,,Transferts sociaux en nature (R),,,,,"1, 2",
OBJ5259679,27918709,Prestations sociales en nature (Ménages),27918699,,Prestations sociales en nature (Ménages),,,,,"1, 2",
OBJ5259679,27918719,Transferts des biens et des services individuels non marchands (Ménages),27918699,,Transferts des biens et des services individuels non marchands (Ménages),,,,,"1, 2",
OBJ5259679,27918729,Emplois,27918679,,Emplois,,,,,"1, 2",
OBJ5259679,27918739,Transferts sociaux en nature (E),27918729,,Transferts sociaux en nature (E),,,,,"1, 2",
OBJ5259679,27918749,Prestations sociales en nature (Administration Publique),27918739,,Prestations sociales en nature (Administration Publique),,,,,"1, 2",
OBJ5259679,27918759,Transferts des biens et des services individuels non marchands (Administration Publique),27918739,,Transferts des biens et des services individuels non marchands (Administration Publique),,,,,"1, 2",
OBJ5259679,27918769,Transferts des biens et des services individuels non marchands (Ménages) (R),27918739,,Transferts des biens et des services individuels non marchands (Ménages) (R),,,,,"1, 2",
