dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,ISCALCULATED,VISIBILITY
OBJ5259829,27912859,Sociétés non financières,,Sociétés non financières,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912869,Rémunérations des salariés,27912859,Rémunérations des salariés des Sociétés non financières,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912879,Revenu d'exploitation,27912859,Revenu d'exploitation des Sociétés non financières,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912889,Institutions financières,,Institutions financières,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912899,Rémunérations des salariés,27912889,Rémunérations des salariés des Institutions financières,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912909,Revenu d'exploitation,27912889,Revenu d'exploitation des Institutions financières,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912919,Administration publique,,Administration publique,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912929,Rémunérations des salariés,27912919,Rémunérations des salariés de l'Administration publique,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912939,Revenu d'exploitation,27912919,Revenu d'exploitation de l'Administration publique,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912949,Ménages,,Ménages,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912959,Rémunérations des salariés,27912949,Rémunérations des salariés des Ménages,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912969,Revenu d'exploitation,27912949,Revenu d'exploitation des Ménages,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912979,Produit intérieur brut (approche revenus),,Produit intérieur brut (approche revenus),,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912989,Rémunérations des salariés,27912979,Rémunérations des salariés,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27912999,+ Impôts sur la production et les importations,27912979,+ Impôts sur la production et les importations,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27913009,- Subventions,27912979,- Subventions,,,24/04/2015 10:22:58,,,"1, 2"
OBJ5259829,27913019,+ Revenu d'exploitation,27912979,+ Revenu d'exploitation,,,24/04/2015 10:22:58,,,"1, 2"
