dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,VISIBILITY,ISCALCULATED
OBJ5259909,27913069,Produit National Brut et Revenu National,,Produit National Brut et Revenu National,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913079,PIB aux prix du marché,27913069,PIB aux prix du marché,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913089,Revenues des facteurs reçus de l'extérieur nets,27913069,Revenues des facteurs reçus de l'extérieur nets,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913099,Revenu National,27913069,Revenu National,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913109,Autres transferts courants extérieurs nets,27913069,Autres transferts courants extérieurs nets,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913119,RNDB (Revenu National Disponible Brut),27913069,RNDB (Revenu National Disponible Brut),,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913129,Sociétés non financières,27913119,RNDB (Revenu National Disponible Brut)\Sociétés non financières,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913139,Institutions financières,27913119,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Institutions financières,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913149,Administration Publique,27913119,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Administration Publique,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913159,Ménages,27913119,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Ménages,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913169,Amortissements,27913119,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Amortissements,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913179,Revenu National Net,27913069,Produit National Brut et Revenu National\Revenu National Net,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913189,Revenu National Disponible,27913069,Produit National Brut et Revenu National\Revenu National Disponible,,,24/04/2015 10:41:57,,"1, 2",
OBJ5259909,27913199,Consommation et épargne,,Consommation et épargne,,,24/04/2015 10:47:39,,"1, 2",
