dimension_id,KEY,NAME,parent_key,C_UNIT_,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,VISIBILITY,ISCALCULATED,C_M_THODOLOGIE
OBJ5260049,27914049,Revenus primaires,,,Revenus primaires,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914059,Sociétés non financières,27914049,,Revenus primaires\Sociétés non financières,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914069,Revenus d'entreprises (snf),27914059,,Revenus primaires\Sociétés non financières\Revenus d'entreprises (snf),,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914079,Revenus distribués (en moins) (snf),27914059,,Revenus primaires\Sociétés non financières\Revenus distribués (en moins) (snf),,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914089,Institutions financières,27914049,,Revenus primaires\Institutions financières,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914099,Revenus d'entreprises (sf),27914089,,Revenus primaires\Institutions financières\Revenus d'entreprises (sf),,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914109,Revenus distribués (en moins) (sf),27914089,,Revenus primaires\Institutions financières\Revenus distribués (en moins) (sf),,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914119,Administration publique,27914049,,Revenus primaires\Administration publique,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914129,Revenu d'exploitation,27914119,,Revenus primaires\Administration publique\Revenu d'exploitation,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914139,Intérêts dividendes revenus reçus nets,27914119,,Revenus primaires\Administration publique\Intérêts dividendes revenus reçus nets,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914149,Impôts indirects nets de subvention d'exploitation,27914119,,Revenus primaires\Administration publique\Impôts indirects nets de subvention d'exploitation,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914159,Ménages,27914049,,Revenus primaires\Ménages,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914169,Revenus bruts d'activités,27914159,,Revenus primaires\Ménages\Revenus bruts d'activités,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914179,Revenus du travail des salariés,27914169,,Revenus primaires\Ménages\Revenus bruts d'activités\Revenus du travail des salariés,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914189,Revenus de la production d'entreprises individuelles,27914169,,Revenus primaires\Ménages\Revenus bruts d'activités\Revenus de la production d'entreprises individuelles,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914199,Revenus de la production hors entreprises individuelles,27914169,,Revenus primaires\Ménages\Revenus bruts d'activités\Revenus de la production hors entreprises individuelles,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914209,Revenus de la propriété,27914159,,Revenus primaires\Ménages\Revenus de la propriété,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914219,Total des revenus primaires (PNB),27914049,,Revenus primaires\Total des revenus primaires (PNB),,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914229,Autres transferts courants reçus de l'extérieur nets,27914049,,Revenus primaires\Autres transferts courants reçus de l'extérieur nets,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914239,Revenu national disponible brut,27914049,,Revenus primaires\Revenu national disponible brut,,,24/04/2015 11:30:26,"1, 2",,
OBJ5260049,27914429,Revenus disponibles Bruts,,,Revenus disponibles Bruts,,,24/04/2015 11:45:19,"1, 2",,
OBJ5260049,27914439,Sociétés non financières,27914429,,Revenus disponibles Bruts\Sociétés non financières,,,24/04/2015 11:45:19,"1, 2",,
OBJ5260049,27914449,Primary income,27914439,,Revenus disponibles Bruts\Sociétés non financières\Primary income,,,24/04/2015 11:45:19,"1, 2",,
OBJ5260049,27914459,Redistribution et autres transferts nets,27914439,,Revenus disponibles Bruts\Sociétés non financières\Redistribution et autres transferts nets,,,24/04/2015 11:45:19,"1, 2",,
OBJ5260049,27914469,Impôts directs versés (-),27914459,,Revenus disponibles Bruts\Sociétés non financières\Redistribution et autres transferts nets\Impôts directs versés (-),,,24/04/2015 11:45:19,"1, 2",,
OBJ5260049,27914479,Autres transferts reçus nets (+),27914459,,Revenus disponibles Bruts\Sociétés non financières\Redistribution et autres transferts nets\Autres transferts reçus nets (+),,,24/04/2015 11:45:19,"1, 2",,
OBJ5260049,27914489,Institutions financières,27914429,,Institutions financières,,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914499,Revenu primaire,27914489,,Revenu primaire (if),,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914509,Redistribution et autres transferts nets,27914489,,Redistribution et autres transferts nets (if),,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914519,Impôts directs versés (-),27914509,,Impôts directs versés (-) (if),,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914529,Cotisations sociales reçues (+),27914509,,Cotisations sociales reçues (+) (if),,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914539,Prestations sociales versées (-),27914509,,Prestations sociales versées (-) (if),,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914549,Autres transferts reçus nets (+),27914509,,Autres transferts reçus nets (+) (if),,,24/04/2015 11:52:43,"1, 2",,
OBJ5260049,27914559,Administration publique,27914429,,Administration publique,,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914569,Revenu primaire,27914559,,Revenu primaire (AP),,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914579,Redistribution et autres transferts nets,27914559,,Redistribution et autres transferts nets (AP),,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914589,Impôts directs reçus (+),27914579,,Impôts directs reçus (+) (AP),,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914599,Cotisations sociales reçues (+),27914579,,Cotisations sociales reçues (+) (AP),,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914609,Prestations sociales versées (-),27914579,,Prestations sociales versées (-) (AP),,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914619,Autres transferts reçus nets (+),27914579,,Autres transferts reçus nets (+) (AP),,,25/04/2015 02:05:59,"1, 2",,
OBJ5260049,27914629,Ménages,27914429,,Ménages,,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914639,Revenu primaire,27914629,,Revenu primaire (M),,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914649,Redistribution et autres transferts nets,27914629,,Redistribution et autres transferts nets (M),,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914659,Impôts directs versés (-),27914649,,Impôts directs versés (-) (M),,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914669,Cotisations sociales versées (-),27914649,,Cotisations sociales versées (-) (M),,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914679,Prestations sociales reçues  (+),27914649,,Prestations sociales reçues  (+) (M),,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914689,Autres transferts reçus nets (+),27914649,,Autres transferts reçus nets (+) (M),,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914699,Dont économie sur salaires reçus de l'extérieur,27914689,,Dont économie sur salaires reçus de l'extérieur,,,25/04/2015 02:20:23,"1, 2",,
OBJ5260049,27914709,Revenu national disponible brut,27914429,,Revenu national disponible brut,,,25/04/2015 02:24:47,"1, 2",,
OBJ5260049,27914719,Consommation finale,27914429,,Consommation finale,,,25/04/2015 02:24:47,"1, 2",,
OBJ5260049,27914729,Épargne nationale brute,27914429,,Épargne nationale brute,,,25/04/2015 02:24:47,"1, 2",,
