dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,ISCALCULATED,VISIBILITY
OBJ5263019,27932009,Agriculture et pêche,,Valeurs ajoutées du secteur Agriculture et pêche,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932019,Industries manufacturières,,Valeurs ajoutées du secteur Industries manufacturières,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932029,Industries Agro-alimentaires,27932019,Valeurs ajoutées du secteur Industries Agro-alimentaires,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932039,"Textile, Habillement et cuir",27932019,"Valeurs ajoutées du secteur Textile, Habillement et cuir",,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932049,Industries diverses,27932019,Valeurs ajoutées du secteur Industries diverses,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932059,Raffinage de pétrole,27932019,Valeurs ajoutées du secteur Raffinage de pétrole,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932069,Industries chimiques,27932019,Valeurs ajoutées du secteur Industries chimiques,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932079,"Materiaux de construction, céramique et verre",27932019,"Valeurs ajoutées du secteur Materiaux de construction, céramique et verre",,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932089,Industries mécaniques et éléctriques,27932019,Valeurs ajoutées du secteur Industries mécaniques et éléctriques,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932099,Industries non manufacturières,,Valeurs ajoutées du secteur Industries non manufacturières,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932109,Extraction de pétrole  et gaz naturel,27932099,Valeurs ajoutées du secteur Extraction de pétrole  et gaz naturel,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932119,Mines,27932099,Valeurs ajoutées du secteur Mines,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932129,Electricité et Gaz,27932099,Valeurs ajoutées du secteur Electricité et Gaz,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932139,Eau,27932099,Valeurs ajoutées du secteur Eau,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932149,Bâtiment et génie civil,27932099,Valeurs ajoutées du secteur Bâtiment et génie civil,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932159,Activités de services marchands,,Valeurs ajoutées du secteur Activités de services marchands,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932169,Entretien et réparation,27932159,Valeurs ajoutées du secteur Entretien et réparation,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932179,Commerce,27932159,Valeurs ajoutées du secteur Commerce,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932189,Services d'hôtellerie et de restauration,27932159,Valeurs ajoutées du secteur Services d'hôtellerie et de restauration,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932199,Transports,27932159,Valeurs ajoutées du secteur Transports,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932209,Poste et télécommunication,27932159,Valeurs ajoutées du secteur Poste et télécommunication,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932219,Services financiers,27932159,Valeurs ajoutées du secteur Services financiers,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932229,Autres Services marchands,27932159,Valeurs ajoutées du secteur Autres Services marchands,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932239,Consommation intermédiaire non ventilée en service financiers (en -),,Valeurs ajoutées du secteur Consommation intermédiaire non ventilée en service financiers (en -),,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932249,Activités marchands,,Valeurs ajoutées du secteur Activités marchands,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932259,Activités non marchands,,Valeurs ajoutées du secteur Activités non marchands,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932269,Services de l'Administration publique,27932259,Valeurs ajoutées du secteur Services de l'Administration publique,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932279,Services fournis par les organisations associatives,27932259,Valeurs ajoutées du secteur Services fournis par les organisations associatives,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932289,Services domestiques,27932259,Valeurs ajoutées du secteur Services domestiques,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932299,Total des valeurs ajoutées,,Total des valeurs ajoutées,,,05/04/2015 16:22:00,,,"1, 2"
OBJ5263019,27932309,Impôts indirects nets de subventions,,Impôts indirects nets de subventions,,,04/05/2015 08:22:04,,,"1, 2"
OBJ5263019,27932319,PIB (aux prix du marché),,PIB (aux prix du marché),,,04/05/2015 08:22:04,,,"1, 2"
