dimension_id,KEY,NAME,parent_key,ISCALCULATED,FULLNAME,DESCRIPTION
OBJ7279019,28164059,Le milieu géographique,,,Le milieu géographique,
OBJ7279019,28164069,National,28164059,,Le milieu géographique\National,
OBJ7279019,28164079,Communal,28164059,,Le milieu géographique\Communal,
OBJ7279019,28164089,Non communal,28164059,,Le milieu géographique\Non communal,
OBJ7279019,28164099,Par régions,,,Par régions,
OBJ7279019,28164109,Grand Tunis,28164099,,Grand Tunis,
OBJ7279019,28175009,Gouvernorat de Tunis,28164109,,Gouvernorat de Tunis,
OBJ7279019,28175019,Gouvernorat de L'Ariana,28164109,,Gouvernorat de L'Ariana,
OBJ7279019,28175029,Gouvernorat de Ben Arous,28164109,,Gouvernorat de Ben Arous,
OBJ7279019,28175039,Gouvernorat de Manouba,28164109,,Gouvernorat de Manouba,
OBJ7279019,28164119,Nord Est,28164099,,Nord Est,
OBJ7279019,28175089,Gouvernorat de Nabeul,28164119,,Gouvernorat de Nabeul,
OBJ7279019,28175099,Gouvernorat de Zaghouan,28164119,,Gouvernorat de Zaghouan,
OBJ7279019,28175109,Gouvernorat de Bizerte,28164119,,Gouvernorat de Bizerte,
OBJ7279019,28164129,Nord ouest,28164099,,Nord ouest,
OBJ7279019,28175119,Gouvernorat de Bèja,28164129,,Par régions\Nord ouest\Gouvernorat de Bèja,
OBJ7279019,28175129,Gouvernorat de Jendouba,28164129,,Gouvernorat de Jendouba,
OBJ7279019,28175139,Gouvernorat du Kef,28164129,,Gouvernorat du Kef,
OBJ7279019,28175149,Gouvernorat de Siliana,28164129,,Gouvernorat de Siliana,
OBJ7279019,28164139,Centre Est,28164099,,Centre Est,
OBJ7279019,28175159,Gouvernorat de Sousse,28164139,,Gouvernorat de Sousse,
OBJ7279019,28175169,Gouvernorat de Monastir,28164139,,Gouvernorat de Monastir,
OBJ7279019,28175179,Gouvernorat de Mahdia,28164139,,Gouvernorat de Mahdia,
OBJ7279019,28175189,Gouvernorat de Sfax,28164139,,Gouvernorat de Sfax,
OBJ7279019,28164149,Centre Ouest,28164099,,Centre Ouest,
OBJ7279019,28175199,Gouvernorat de Kairouan,28164149,,Gouvernorat de Kairouan,
OBJ7279019,28175209,Gouvernorat de Kasserine,28164149,,Gouvernorat de Kasserine,
OBJ7279019,28175219,Gouvernorat de Sidi Bouzid,28164149,,Gouvernorat de Sidi Bouzid,
OBJ7279019,28164159,Sud Est,28164099,,Sud Est,
OBJ7279019,28175229,Gouvernorat de Gabès,28164159,,Gouvernorat de Gabès,
OBJ7279019,28175239,Gouvernorat de Medenine,28164159,,Gouvernorat de Medenine,
OBJ7279019,28175249,Gouvernorat de Tataouine,28164159,,Gouvernorat de Tataouine,
OBJ7279019,28164169,Sud Ouest,28164099,,Sud Ouest,
OBJ7279019,28175259,Gouvernorat de Gafsa,28164169,,Gouvernorat de Gafsa,
OBJ7279019,28175269,Gouvernorat de Tozeur,28164169,,Gouvernorat de Tozeur,
OBJ7279019,28175279,Gouvernorat de Kébili,28164169,,Gouvernorat de Kébili,
OBJ7279019,28164179,La classe socioprofessionelle du chef du ménage,,,La classe socioprofessionelle du chef du ménage,
OBJ7279019,28164189,Cadres et professions libérales supérieures,28164179,,La classe socioprofessionelle du chef du ménage\Cadres et professions libérales supérieures,
OBJ7279019,28164199,Cadres et professions libérales moyens,28164179,,La classe socioprofessionelle du chef du ménage\Cadres et professions libérales moyens,
OBJ7279019,28164209,Autres employés,28164179,,La classe socioprofessionelle du chef du ménage\Autres employés,
OBJ7279019,28164219,Patrons des petits métiers dans l'industrie,28164179,,La classe socioprofessionelle du chef du ménage\Patrons des petits métiers dans l'industrie,
OBJ7279019,28164229,Artisans et indépendants des petits métiers,28164179,,La classe socioprofessionelle du chef du ménage\Artisans et indépendants des petits métiers,
OBJ7279019,28164239,Ouvriers non agricoles,28164179,,La classe socioprofessionelle du chef du ménage\Ouvriers non agricoles,
OBJ7279019,28164249,Exploitants agricoles,28164179,,La classe socioprofessionelle du chef du ménage\Exploitants agricoles,
OBJ7279019,28164259,Ouvriers agricoles,28164179,,La classe socioprofessionelle du chef du ménage\Ouvriers agricoles,
OBJ7279019,28164269,Chômeurs,28164179,,La classe socioprofessionelle du chef du ménage\Chômeurs,
OBJ7279019,28164279,Retraités,28164179,,La classe socioprofessionelle du chef du ménage\Retraités,
OBJ7279019,28164289,Autres inactifs,28164179,,La classe socioprofessionelle du chef du ménage\Autres inactifs,
OBJ7279019,28164299,la taille du ménage,,,la taille du ménage,
OBJ7279019,28164309,De 1 à 2 personnes,28164299,,la taille du ménage\De 1 à 2 personnes,
OBJ7279019,28164319,De 3 à 4 personnes,28164299,,la taille du ménage\De 3 à 4 personnes,
OBJ7279019,28164329,De 5 à 6 personnes,28164299,,la taille du ménage\De 5 à 6 personnes,
OBJ7279019,28164339,De 7 à 8 personnes,28164299,,la taille du ménage\De 7 à 8 personnes,
OBJ7279019,28164349,Plus que 9 personnes,28164299,,la taille du ménage\Plus que 9 personnes,
OBJ7279019,28164359,les tranches de dépense,,,les tranches de dépense,
OBJ7279019,28164369,Moins que 500 DT,28164359,,les tranches de dépense\Moins que 500 DT,
OBJ7279019,28164379,De 500 à 750 DT,28164359,,les tranches de dépense\De 500 à 750 DT,
OBJ7279019,28164389,De 750 à 1000 DT,28164359,,les tranches de dépense\De 750 à 1000 DT,
OBJ7279019,28164399,De 1000 à 1500 DT,28164359,,les tranches de dépense\De 1000 à 1500 DT,
OBJ7279019,28164409,De 1500 à 2000 DT,28164359,,les tranches de dépense\De 1500 à 2000 DT,
OBJ7279019,28164419,De 2000 à 3000 DT,28164359,,les tranches de dépense\De 2000 à 3000 DT,
OBJ7279019,28164429,De 3000 à 4500 DT,28164359,,les tranches de dépense\De 3000 à 4500 DT,
OBJ7279019,28164439,Plus que 4500 DT,28164359,,les tranches de dépense\Plus que 4500 DT,
OBJ7279019,28164449,les déciles  de dépense,,,les déciles  de dépense,
OBJ7279019,28164459,Premier décile,28164449,,les déciles  de dépense\Premier décile,
OBJ7279019,28164469,Deuxième décile,28164449,,les déciles  de dépense\Deuxième décile,
OBJ7279019,28164479,Troisième décile,28164449,,les déciles  de dépense\Troisième décile,
OBJ7279019,28164489,Quatrième décile,28164449,,les déciles  de dépense\Quatrième décile,
OBJ7279019,28164499,Cinquième décile,28164449,,les déciles  de dépense\Cinquième décile,
OBJ7279019,28164509,Sixième décile,28164449,,les déciles  de dépense\Sixième décile,
OBJ7279019,28164519,Septième décile,28164449,,les déciles  de dépense\Septième décile,
OBJ7279019,28164529,Huitième décile,28164449,,les déciles  de dépense\Huitième décile,
OBJ7279019,28164539,Neufième décile,28164449,,les déciles  de dépense\Neufième décile,
OBJ7279019,28164549,Dixième décile,28164449,,les déciles  de dépense\Dixième décile,
