dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE,C_VISIBILIT_
OBJ9106729,28315409,Total,,,T,False
OBJ9106729,28730659,Moins de 5 ans,,,LT5Y,False
OBJ9106729,28730649,15 ans et plus,,,15TM,True
OBJ9106729,28730759,15-24 ans,,,15T24Y,False
OBJ9106729,28315499,15-19 ans,,,15T19Y,False
OBJ9106729,28730769,15-17 ans,,,15T17Y,False
OBJ9106729,28730779,18-19 ans,,,18T19Y,False
OBJ9106729,28730669,15-49 ans,,,15T49Y,False
OBJ9106729,28315529,20-24 ans,,,20T24Y,False
OBJ9106729,28730699,20-29 ans,,,20T29Y,False
OBJ9106729,28730679,20-69 ans,,,20T69Y,False
OBJ9106729,28315559,25-29 ans,,,25T29Y,False
OBJ9106729,28730709,30-39 ans,,,30T39Y,False
OBJ9106729,28730719,40-49 ans,,,40T49Y,False
OBJ9106729,28730729,50-59 ans,,,50T59Y,False
OBJ9106729,28730739,60-69 ans,,,60T69Y,False
OBJ9106729,28315919,Non applicable,,,Z,False
