dimension_id,KEY,NAME,parent_key,C_UNIT_,ISCALCULATED,FULLNAME,DESCRIPTION,VISIBILITY,C_CODE,C_DATE_DE_MISE___JOUR,C_P_RIODICIT_,C_SOURCE,C_M_THODOLOGIE,C_CAT_GORIE,C_COMMENTAIRE,C_ORGANISATION_CHEF_DE_FILE
OBJ9106829,28317529,"Taux d'inscription dans les listes éléctorales, selon le sexe",,Pourcentage,,"Taux d'inscription dans les listes éléctorales, selon le sexe",,"1, 2",104,06/07/2020 22:15:00,Quinquennal,Instance Supérieur Indépendante pour les Elections - ISIE,,4,"2010* et 2018* elections municipales, 2014 et 2019 elections législatives et présidentielles",Institut National de la Statistique
OBJ9106829,28317559,La proportion de femmes titulaires d'un permis de conduire (catégorie Tourisme),,Pourcentage,,La proportion de femmes titulaires d'un permis de conduire (catégorie Tourisme),,"1, 2",64,06/07/2020 22:15:00,Annuelle,Agence Nationale des transports terrestres,Le pourcentage de nouveaux titulaire de permis de conduite (la population âgées de 18 ans et plus),4,,Institut National de la Statistique
OBJ9106829,28317579,Pourcentage de magistrates,,Pourcentage,,Pourcentage de magistrates,,"1, 2",54,06/07/2020 22:15:00,Annuelle,Institut Supérieur de la Statistique,Caractéristiques des agents de la fonction publique et leurs salaires,4,,Institut National de la Statistique
OBJ9106829,28317609,Composition du gouvernement; ministres et secrétaires d'Etats par sexe,,Nombre,,Composition du gouvernement; ministres et secrétaires d'Etats par sexe,,"1, 2",49,07/06/2020 22:15:30,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737449,Ministres,28317609,,,Ministres au composition du gouvernement par sexe,,"1, 2",,26/01/2021 20:58:34,,,,,,
OBJ9106829,28737119,Mohamed Ghannouchi du 17 novembre 1999 au 17 janvier 2011,28737449,Nombre,,Ministres au Gouvernement de Mohamed Ghannouchi du 17 novembre 1999 au 17 janvier 2011,,"1, 2",50,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737129,Mohamed Ghannouchi du 17 janvier 2011 au 27 fevrier 2011,28737449,Nombre,,Ministres au Gouvernement de Mohamed Ghannouchi du 17 janvier 2011 au 27 fevrier 2011,,"1, 2",51,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737139,Béji Caïd Essebsi du 27 fevrier 2011 au 13 decembre 2011,28737449,Nombre,,Ministres au Gouvernement de Béji Caïd Essebsi du 27 fevrier 2011 au 13 decembre 2011,,"1, 2",52,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737149,Remaniement du 13 decembre  2011 au 23 decembre 2011,28737449,Nombre,,Ministres au Gouvernement de Remaniement du 13 decembre  2011 au 23 decembre 2011,,"1, 2",53,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737159,Hamadi Jebalidu 24 decembre 2011 au 13 mars  2013,28737449,Nombre,,Ministres au Gouvernement de Hamadi Jebali du 24 decembre 2011 au 13 mars  2013,,"1, 2",54,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737169,Ali Larayedh du 13 mars 2013 au 29 janvier 2014,28737449,Nombre,,Ministres au Gouvernement de Ali Larayedh du 13 mars 2013 au 29 janvier 2014,,"1, 2",55,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737179,Mehdi Jomaa du 29 janvier 2014 au 31 décembre 2014,28737449,Nombre,,Ministres au Gouvernement de Mehdi Jomaa du 29 janvier 2014 au 31 décembre 2014,,"1, 2",56,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737189,Remaniement du 31 decembre 2014 au 06 fevrier 2015,28737449,Nombre,,Ministres au Gouvernement de Remaniement du 31 decembre 2014 au 06 fevrier 2015,,"1, 2",57,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737199,Habib Essid du 6 fevrier 2015 AU 27 août 2016,28737449,Nombre,,Ministres au Gouvernement de Habib Essid du 6 fevrier 2015 AU 27 août 2016,,"1, 2",58,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737209,youssef chahed du 27 août 2016 au 25 juillet 2019,28737449,Nombre,,Ministres au Gouvernement de Youssef chahed du 27 août 2016 au 25 juillet 2019,,"1, 2",59,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737219,Remaniement du 25 juillet 2019 au 23 octobre 2019,28737449,Nombre,,Ministres au Gouvernement de Remaniement du 25 juillet 2019 au 23 octobre 2019,,"1, 2",60,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
OBJ9106829,28737229,Remaniement du 23 octobre 2019 au 27 fevrier 2020,28737449,Nombre,,Ministres au Gouvernement de Remaniement du 23 octobre 2019 au 27 fevrier 2020,,"1, 2",61,26/01/2021 20:09:07,Irrégulier,Journal Officiel de la République Tunisienne,,4,,Institut National de la Statistique
